Ano,Estado,Cenário A,Cenário B,Cenário C
2009,AC,6205.69,5192.04,5192.04
2009,AL,6119.18,3571.37,3993.13
2009,AM,4425.1,3174.68,3245.94
2009,AP,6921.41,6124.44,6124.44
2009,BA,4743.26,3142.82,3756.42
2009,CE,6581.08,3871.89,4496.26
2009,ES,9670.31,7110.91,7110.91
2009,GO,5609.87,4808.33,4808.33
2009,MA,4819.3,2599.3,3758.13
2009,MG,4218.54,4013.99,4013.99
2009,MS,6613.64,5198.16,5198.16
2009,MT,6854.24,6161.72,6161.72
2009,PA,4410.61,2622.96,3564.38
2009,PB,4876.97,3677.17,3918.44
2009,PE,4601,3291.69,3684.73
2009,PI,4788.32,3157.01,3716.56
2009,PR,5220.94,4937.55,4937.55
2009,RJ,6364.42,4302.84,4302.84
2009,RN,5527.75,3917.34,3917.34
2009,RO,5034.48,4127,4127
2009,RR,8465.11,7594.17,7594.17
2009,SC,5293.14,4561.81,4561.81
2009,SE,6948.12,4821.53,4821.53
2009,TO,5955.01,5050.13,5050.13
2012,AC,7356.06,6035.37,6035.37
2012,AL,8381.62,4801.64,5877.47
2012,AM,5733.92,4161.73,4816.56
2012,AP,8567.73,7568.49,7568.49
2012,BA,6720.31,4270.69,5585.68
2012,CE,8947.28,4967.51,5918.96
2012,ES,12094.23,8597.65,8597.65
2012,GO,8690.53,6890.49,6890.49
2012,MA,7371.82,3818.36,6004.88
2012,MG,5578.35,5166.04,5166.04
2012,MS,8512.91,6550.57,6550.57
2012,MT,7575.1,6820.94,6820.94
2012,PA,6047.34,3493.02,5280.73
2012,PB,6724.53,4944.44,5246.43
2012,PE,7122.37,5088.9,5578.35
2012,PI,6927.58,4484.12,5272.2
2012,PR,7133.41,6656.3,6656.3
2012,RJ,10197.11,6401.09,6401.09
2012,RN,8265.55,5937.81,6005.73
2012,RO,6574.86,5271.42,5271.42
2012,RR,9820.64,7955.37,7955.37
2012,SC,8246.64,6715.89,6715.89
2012,SE,9775.35,6599.37,6599.37
2012,TO,8074.75,6685.77,6685.77
2014,AC,7904.79,6447.96,6447.96
2014,AL,9811.9,5535.52,6533.89
2014,AM,6452.97,4726.62,5482.22
2014,AP,10022.07,8490.16,8490.16
2014,BA,8577.2,5335.72,6459.54
2014,CE,10581.67,5787.65,6803.55
2014,ES,11139.52,7074.1,7074.1
2014,GO,9879.86,7589.74,7589.74
2014,MA,9224.11,4427.46,6534.69
2014,MG,6247.96,5722.59,5722.59
2014,MS,9991.33,7416.18,7416.18
2014,MT,9068.5,8168.54,8168.54
2014,PA,7174.96,4075.81,5738.5
2014,PB,10551.88,8035.31,8320.32
2014,PE,8725.78,5913.84,6549.78
2014,PI,8864.45,5253.43,5990.96
2014,PR,8797.28,7949.53,7949.53
2014,RJ,13295.8,8025.61,8025.61
2014,RN,9531.19,6940.69,7063.8
2014,RO,7227.58,5801.34,5801.34
2014,RR,11503.41,9204.07,9204.07
2014,SC,9727.46,7474.2,7474.2
2014,SE,11742.23,7700.84,7700.84
2014,TO,9787.78,8034.78,8034.78
2018,AC,7680.73,6386.55,6386.55
2018,AL,12046.55,7516.71,7516.71
2018,AM,6437.42,4653.38,5928.17
2018,AP,10453.6,8570.26,8570.26
2018,BA,9879.55,5929.41,6994.01
2018,CE,11427.37,5813.23,6951.87
2018,ES,11610.07,7253.43,7253.43
2018,GO,9477.95,7171.99,7171.99
2018,MA,10261.52,4783.6,7131.81
2018,MG,6886.74,4813.56,4813.56
2018,MS,10324.08,7567.43,7567.43
2018,MT,11155.27,9650.82,9650.82
2018,PA,7451.43,4029.26,6176.83
2018,PB,9302.49,5992.05,6369.61
2018,PE,9746.5,6168.16,6637.57
2018,PI,7297.17,4592.63,5527.72
2018,PR,9739.76,8591.13,8591.13
2018,RJ,14181.03,8132.51,8132.51
2018,RN,11005.18,7219.91,7219.91
2018,RO,8485.86,6586.01,6586.01
2018,RR,11483.66,8269.73,8269.73
2018,SC,10737.47,7763.16,7763.16
2018,SE,12516.59,8042.08,8042.08
2018,TO,11928.56,8575.35,8575.35
2020,AC,8507.11,6808.98,6808.98
2020,AL,12376.84,6829.68,7757.51
2020,AM,6956.1,4953.14,6023.38
2020,AP,11017.66,8950.44,8950.44
2020,BA,10434.29,6078.37,7069.1
2020,CE,11657.48,6104.32,7191.16
2020,ES,12516.91,7561.97,7561.97
2020,GO,9919.09,7110.03,7110.03
2020,MA,11400.75,5505.15,7714.81
2020,MG,7551.14,7018.4,7018.4
2020,MS,13503.49,9566.64,9566.64
2020,MT,13212.05,11366.02,11366.02
2020,PA,8531.1,4814.7,6607.68
2020,PB,10566.21,6574.22,6938.14
2020,PE,9878.96,6301.08,6654.43
2020,PI,9778.11,5764.31,6845.34
2020,PR,9732.29,8373.47,8373.47
2020,RJ,12743.13,7465.19,7465.19
2020,RN,11311.55,7381.67,7381.67
2020,RO,8970.52,6979.17,6979.17
2020,RR,11719.8,8744.56,8744.56
2020,SC,10993.5,7787.82,7787.82
2020,SE,12488.21,7980.53,7980.53
2020,TO,12443.71,9004.55,9004.55
